,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
43,44,This is Us,Jimmie Allen,https://open.spotify.com/track/7DnNU5rQLgy4KEYvFMrGgW,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
44,45,Amor Tumbado,Natanael Cano,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
45,46,I'm Shipping Up To Boston,Dropkick Murphys,https://open.spotify.com/track/7rSERmjAT38lC5QhJ8hnQc,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
46,47,Your Love (Déjà Vu),Glass Animals,https://open.spotify.com/track/5DYD4zlGiFlkpLaf2Bk8Vl,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
47,48,Diva (feat. Lil Tecca),The Kid LAROI,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
48,49,Need Me,J.I the Prince of N.Y,https://open.spotify.com/track/2dzja72gQodveSpguIQGJl,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
49,50,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19
0,1,Vibe,Cookiee Kawaii,https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
1,2,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
2,3,Moral of the Story,Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
3,4,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
4,5,4 Da Trap,645AR,https://open.spotify.com/track/5sF13EvLGv5qHFiMuGnMTF,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
5,6,WHATS POPPIN,Jack Harlow,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
6,7,Walked In,Ultradiox,https://open.spotify.com/track/1tRlGMHsf21FDo6pja27YN,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
7,8,Stuck Up,Music With Edgar,https://open.spotify.com/track/582UuerUL1zx7IyudPW9Mo,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
8,9,My Truck,BRELAND,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
9,10,My Heart Went Oops,Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
10,11,She Gon Go,Trill Ryan,https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
11,12,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
12,13,Blueberry Faygo,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
13,14,Intentions (feat. Quavo),Justin Bieber,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
14,15,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
15,16,Trust,Brent Faiyaz,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
16,17,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
17,18,CITY OF ANGELS,24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
18,19,GENOCIDE,Lil Darkie,https://open.spotify.com/track/68Y3zzmt2XxzheQVGbbJt4,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
19,20,3 Vets,The Future Kingz,https://open.spotify.com/track/6t3sBdc5SbMlk5AyGvMei2,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
20,21,"People, I've been sad",Christine and the Queens,https://open.spotify.com/track/0KywIrJ4Xir4tS6q61aY1W,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
21,22,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
22,23,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
23,24,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
24,25,BLACKOUT,Lil Kapow,https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
25,26,Get the Gat,Lil Elt,https://open.spotify.com/track/4gxh3vX2vDeiey5cDQvXDR,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
26,27,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
27,28,Slowly,ODIE,https://open.spotify.com/track/3GGhyTPYDufku46UtvLTPi,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
28,29,Bussin,Tay Money,https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
29,30,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,https://open.spotify.com/track/4XII12nbsvJblXfG1I2QR4,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
30,31,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
31,32,Make His Pockets Hurt,Lil Kayla,https://open.spotify.com/track/4MszwagGVhBYTJkXe0KOEp,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
32,33,Know Your Worth,Khalid,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
33,34,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
34,35,Diva (feat. Lil Tecca),The Kid LAROI,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
35,36,Amor Tumbado,Natanael Cano,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
36,37,Boys Ain't Shit,SAYGRACE,https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
37,38,LOYAL (feat. Drake and Bad Bunny) - Remix,PARTYNEXTDOOR,https://open.spotify.com/track/6RbH4isVKIOg1OY1HvRqFc,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
38,39,circle the drain,Soccer Mommy,https://open.spotify.com/track/2drtd6SptpMJ1KylMQ7mrE,viral-us-weekly-2020-03-05--2020-03-05.csv,,March,10,Viral 50,2020-03-05
