,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
20,21,4 Da Trap,645AR,https://open.spotify.com/track/5sF13EvLGv5qHFiMuGnMTF,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
21,22,Exhibit C,Jay Electronica,https://open.spotify.com/track/23uJbBKyqs1dibvfECdjSH,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6AgTAQt8XS6jRWi4sX7w49,chicago rap,,
22,23,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
23,24,Trust,Brent Faiyaz,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
24,25,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6R6EfP43F8ZuMcilsE4zs7,dfw rap,trap queen,
25,26,Intentions (feat. Quavo),Justin Bieber,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
26,27,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6FheakPfcCNN0NeROtOKeQ,brooklyn drill,new york drill,
27,28,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
28,29,We Own the Night,Chandler Kinney,https://open.spotify.com/track/3n1lJB7m8iNDToXJVzIHD2,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,5P46zciG5gm8IALoKTLYGb,meme rap,,
29,30,Ignorantes,Bad Bunny,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,4HAfqyKr4Sqtab6ttHWXgE,sad rap,,
30,31,BLACKOUT,Lil Kapow,https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,2wY79sveU1sp5g7SokKOiI,dance pop,pop,post-teen pop
31,32,Psycho!,MASN,https://open.spotify.com/track/5LKkteRQ1wWv7XCIEA5F2q,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,,
32,33,Stuck Up,Music With Edgar,https://open.spotify.com/track/582UuerUL1zx7IyudPW9Mo,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
33,34,Whiskey in the Jar,The Dubliners,https://open.spotify.com/track/1UzofFX5AkfTDnwjcBkM4J,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,2kRfqPViCqYdSGhYSM9R0Q,alt z,dance pop,electropop
