,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
51,2,Blueberry faygo,Yung Anime,https://open.spotify.com/track/4ADzhwPWMQaTXNnEP8gXnQ,jan_viral_50.csv,1.0,January,,Viral 50,
52,3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,jan_viral_50.csv,2.0,January,,Viral 50,
53,4,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,jan_viral_50.csv,3.0,January,,Viral 50,
54,5,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,jan_viral_50.csv,4.0,January,,Viral 50,
55,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,jan_viral_50.csv,5.0,January,,Viral 50,
56,7,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,jan_viral_50.csv,6.0,January,,Viral 50,
57,8,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,jan_viral_50.csv,7.0,January,,Viral 50,
58,9,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,jan_viral_50.csv,8.0,January,,Viral 50,
59,10,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,jan_viral_50.csv,9.0,January,,Viral 50,
60,11,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,jan_viral_50.csv,10.0,January,,Viral 50,
61,12,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,jan_viral_50.csv,11.0,January,,Viral 50,
62,13,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,jan_viral_50.csv,12.0,January,,Viral 50,
63,14,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,jan_viral_50.csv,13.0,January,,Viral 50,
64,15,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,jan_viral_50.csv,14.0,January,,Viral 50,
65,16,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,jan_viral_50.csv,15.0,January,,Viral 50,
66,17,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,jan_viral_50.csv,16.0,January,,Viral 50,
67,18,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,jan_viral_50.csv,17.0,January,,Viral 50,
68,19,The Mandalorian,Ludwig Goransson,https://open.spotify.com/track/6tJFtthY0rI1x06qb8NjK0,jan_viral_50.csv,18.0,January,,Viral 50,
69,20,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,jan_viral_50.csv,19.0,January,,Viral 50,
70,21,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,jan_viral_50.csv,20.0,January,,Viral 50,
71,22,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,jan_viral_50.csv,21.0,January,,Viral 50,
72,23,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,jan_viral_50.csv,22.0,January,,Viral 50,
73,24,B*tch From Da Souf (Remix),Mulatto,https://open.spotify.com/track/2zUbimuKNWDMCwbqNauLWV,jan_viral_50.csv,23.0,January,,Viral 50,
74,25,Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,jan_viral_50.csv,24.0,January,,Viral 50,
75,26,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,jan_viral_50.csv,25.0,January,,Viral 50,
76,27,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,jan_viral_50.csv,26.0,January,,Viral 50,
77,28,10%,KAYTRANADA,https://open.spotify.com/track/41SwdQIX8Hy2u6fuEDgvWr,jan_viral_50.csv,27.0,January,,Viral 50,
78,29,The Mop,TisaKorean,https://open.spotify.com/track/3osCREknZZMgitJFD4lECG,jan_viral_50.csv,28.0,January,,Viral 50,
79,30,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,jan_viral_50.csv,29.0,January,,Viral 50,
80,31,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,jan_viral_50.csv,30.0,January,,Viral 50,
81,32,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,jan_viral_50.csv,31.0,January,,Viral 50,
82,33,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,jan_viral_50.csv,32.0,January,,Viral 50,
83,34,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,jan_viral_50.csv,33.0,January,,Viral 50,
84,35,Let Me Know (I Wonder Why Freestyle),Juice WRLD,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx,jan_viral_50.csv,34.0,January,,Viral 50,
85,36,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,jan_viral_50.csv,35.0,January,,Viral 50,
86,37,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,jan_viral_50.csv,36.0,January,,Viral 50,
87,38,Yellow Hearts,Ant Saunders,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,jan_viral_50.csv,37.0,January,,Viral 50,
88,39,Popular Monster,Falling In Reverse,https://open.spotify.com/track/4GssB27iJeqmfGxS94Tfij,jan_viral_50.csv,38.0,January,,Viral 50,
89,40,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,jan_viral_50.csv,39.0,January,,Viral 50,
90,41,Birthday Suit,Cosmo Sheldrake,https://open.spotify.com/track/5feuWfAXA4rEKH9pXCjOV2,jan_viral_50.csv,40.0,January,,Viral 50,
91,42,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,https://open.spotify.com/track/5FmvaZGd6fulojSToozLRD,jan_viral_50.csv,41.0,January,,Viral 50,
92,43,We Are Not the Same,Young Roc,https://open.spotify.com/track/0ThoRrB0xQHnBRcosHoYFW,jan_viral_50.csv,42.0,January,,Viral 50,
93,44,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,jan_viral_50.csv,43.0,January,,Viral 50,
94,45,BOP,DaBaby,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,jan_viral_50.csv,44.0,January,,Viral 50,
95,46,"Hey Boy, Hey Girl",Upchurch,https://open.spotify.com/track/47f6eZgviwSZciXGv2iWYg,jan_viral_50.csv,45.0,January,,Viral 50,
96,47,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,jan_viral_50.csv,46.0,January,,Viral 50,
97,48,More Hearts Than Mine,Ingrid Andress,https://open.spotify.com/track/0LcspVKJxhEQQSvVMiTPWz,jan_viral_50.csv,47.0,January,,Viral 50,
98,49,Bacc Seat (feat. Ty Dolla $ign),Roddy Ricch,https://open.spotify.com/track/6In6SkveIw26thdYRhHTVX,jan_viral_50.csv,48.0,January,,Viral 50,
99,50,RITMO (Bad Boys For Life),Black Eyed Peas,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,jan_viral_50.csv,49.0,January,,Viral 50,
100,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,jan_viral_50.csv,0.0,January,,Viral 50,
101,2,My Truck,BRELAND,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9,jan_viral_50.csv,1.0,January,,Viral 50,
102,3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,jan_viral_50.csv,2.0,January,,Viral 50,
103,4,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,jan_viral_50.csv,3.0,January,,Viral 50,
104,5,Break My Stride,Matthew Wilder,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT,jan_viral_50.csv,4.0,January,,Viral 50,
105,6,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,jan_viral_50.csv,5.0,January,,Viral 50,
106,7,Opaul,Freddie Dredd,https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0,jan_viral_50.csv,6.0,January,,Viral 50,
107,8,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,jan_viral_50.csv,7.0,January,,Viral 50,
