,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
109,110,Ransom,Lil Tecca,1901131,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
110,111,MIDDLE CHILD,J. Cole,1900159,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
111,112,Money In The Grave (Drake ft. Rick Ross),Drake,1899217,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
112,113,PTSD,G Herbo,1898927,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
113,114,Magic In The Hamptons (feat. Lil Yachty),Social House,1895600,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
114,115,OUT WEST (feat. Young Thug),JACKBOYS,1895345,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
115,116,If the World Was Ending - feat. Julia Michaels,JP Saxe,1891440,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
116,117,MAMACITA,Black Eyed Peas,1886481,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
117,118,Lose Somebody,Kygo,1880714,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
118,119,P2,Lil Uzi Vert,1868225,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
119,120,rockstar (feat. 21 Savage),Post Malone,1866967,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
120,121,Beautiful Crazy,Luke Combs,1862744,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
121,122,Suge,DaBaby,1857096,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
122,123,Wow.,Post Malone,1854253,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
123,124,lovely (with Khalid),Billie Eilish,1847409,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
124,125,Satisfied,Renée Elise Goldsberry,1847393,https://open.spotify.com/track/3dP0pLbg9OfVwssDjp9aT0,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
125,126,Alexander Hamilton,Leslie Odom Jr.,1843578,https://open.spotify.com/track/4TTV7EcfroSLWzXRY6gLv6,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
126,127,Truth Hurts,Lizzo,1843044,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
