,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
77,78,We Paid (feat. 42 Dugg),Lil Baby,2367892,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
78,79,Heart On Ice,Rod Wave,2351256,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
79,80,CITY OF ANGELS,24kGoldn,2345080,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
80,81,Money In The Grave (Drake ft. Rick Ross),Drake,2283345,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
81,82,"10,000 Hours (with Justin Bieber)",Dan + Shay,2280928,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
82,83,Woah,Lil Baby,2273415,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
83,84,OUT WEST (feat. Young Thug),JACKBOYS,2268359,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
84,85,bad guy,Billie Eilish,2264822,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
85,86,Level of Concern,Twenty One Pilots,2256119,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
86,87,Whiskey Glasses,Morgan Wallen,2246559,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
87,88,lovely (with Khalid),Billie Eilish,2237488,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
88,89,Chasin' You,Morgan Wallen,2229868,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
89,90,I’m Ready (with Demi Lovato),Sam Smith,2221415,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
90,91,Heartless,The Weeknd,2200314,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
91,92,Beautiful Crazy,Luke Combs,2176128,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
92,93,Jocelyn Flores,XXXTENTACION,2168288,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
93,94,You should be sad,Halsey,2158585,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
94,95,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,2153965,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
