,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type
19,20,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
20,21,This Side of Paradise,Coyote Theory,https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
21,22,Backyard Boy,Claire Rosinkranz,https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
22,23,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,https://open.spotify.com/track/1eCTQhsNA31FcwyNcJcf86,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
23,24,Ser O Parecer,RBD,https://open.spotify.com/track/5sgvzXoYFCr5F5tUZdAA20,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
24,25,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
25,26,Enséñame,RBD,https://open.spotify.com/track/3eo3Dw5OGSWCzJDVHLKE3v,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
26,27,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
27,28,Un Poco De Tu Amor,RBD,https://open.spotify.com/track/64mK5Yd0rdGeXVkMFspEyt,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
28,29,24 (feat. Lil Baby),Money Man,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
29,30,my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
30,31,GIVE HEAVEN SOME HELL,HARDY,https://open.spotify.com/track/2bVeUlOC5JjTpkQXuUUoYm,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
31,32,Aún Hay Algo,RBD,https://open.spotify.com/track/6fqpsCQ7jF7OgQolXgYovX,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
