,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
679,79,80,Heart On Ice,Rod Wave,2392998,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,45TgXXqMDdF8BkjA83OM7z,florida rap,,
680,80,81,Stupid Love,Lady Gaga,2328254,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,1HY2Jd0NmPuamShAr6KMms,dance pop,pop,post-teen pop
681,81,82,Memories,Maroon 5,2327256,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,04gDigrS5kc9YWfZHwBETP,pop,pop rock,
682,82,83,Like That (feat. Gucci Mane),Doja Cat,2297517,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
683,83,84,Heatin Up (feat. Gunna),Lil Baby,2292867,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
684,84,85,lovely (with Khalid),Billie Eilish,2278050,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
685,85,86,when the party's over,Billie Eilish,2266570,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
686,86,87,Skechers,DripReport,2255700,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,3O5HD95HTEPgoPFOjAb7yV,viral rap,,
687,87,88,Money In The Grave (Drake ft. Rick Ross),Drake,2244382,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
688,88,89,Amarillo,J Balvin,2244238,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,1vyhD5VmyZ7KMfW5gqLgo5,latin,reggaeton,reggaeton colombiano
689,89,90,Suge,DaBaby,2238341,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
690,90,91,Ransom,Lil Tecca,2234366,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4Ga1P7PMIsmqEZqhYZQgDo,melodic rap,rap,trap
691,91,92,VIBEZ,DaBaby,2204893,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
692,92,93,Prices,Lil Uzi Vert,2204110,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
693,93,94,Homecoming,Lil Uzi Vert,2200938,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
694,94,95,Jocelyn Flores,XXXTENTACION,2194163,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,15UsOTVnJzReFVN1VCnxy4,emo rap,miami hip hop,
695,95,96,I Love Me,Demi Lovato,2181105,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,6S2OmqARrzebs0tKUEyXyp,dance pop,pop,post-teen pop
696,96,97,Goodbyes (Feat. Young Thug),Post Malone,2169448,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
697,97,98,Ignorantes,Bad Bunny,2158569,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
698,98,99,Cardigan,Don Toliver,2150345,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4Gso3d4CscCijv0lmajZWs,rap,trap,
