,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
68,19,327,Westside Gunn,https://open.spotify.com/track/5MvCurNMpM3WCCSs40cd37,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0ABk515kENDyATUdpCKVfW,alternative hip hop,boom bap,buffalo hip hop
69,20,Don't Rush (feat. Headie One),Young T & Bugsey,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6M6XXCcO5gI68XpIlrUL3Z,afroswing,uk hip hop,
70,21,After Party,Don Toliver,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4Gso3d4CscCijv0lmajZWs,rap,trap,
71,22,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,3O5HD95HTEPgoPFOjAb7yV,viral rap,,
72,23,It's You (I've Been Looking for),Lewis Brice,https://open.spotify.com/track/3CetlHFPPW1SF9mQB7fKti,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,7uUOszTczQQwzDodHiz4j0,country pop,,
73,24,More Than My Hometown,Morgan Wallen,https://open.spotify.com/track/6FniJZn4agmDtPx1pKZQsa,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,,
74,25,Tutti Frutti,Little Richard,https://open.spotify.com/track/2iXcvnD3d1gfLBum0cE5Eg,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4xls23Ye9WR9yy3yYMpAMm,adult standards,brill building pop,rock-and-roll
75,26,Toxic,Kehlani,https://open.spotify.com/track/5nexAvWNhwg51EavnDgViy,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0cGUm45nv7Z6M6qdXYQGTX,dance pop,pop,pop rap
76,27,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6bmlMHgSheBauioMgKv2tn,emo rap,sad rap,
77,28,El Envidioso,Los Dos Carnales,https://open.spotify.com/track/3cExeifTyKQSMLLwG70wIo,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,25UNJbwGZSQKvz5cPLWlv3,corrido,norteno,nuevo regional mexicano
