,Position,Track Name,Artist,Streams,URL,Filename,1,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,No Wind Resistance!,Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,Die Very Rough,Mario Judah,https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff,E-GIRLS ARE RUINING MY LIFE!,CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,Gdzie jest biały węgorz ? (Zejście),Cypis,https://open.spotify.com/track/4fNbS43X6yt4iWxLgRqwKa,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,Mayonaka no Door / Stay With Me,Miki Matsubara,https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA
82,83.0,Bandit (with YoungBoy Never Broke Again),Juice WRLD,2304938.0,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84.0,Whiskey Glasses,Morgan Wallen,2297814.0,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85.0,ROXANNE,Arizona Zervas,2278261.0,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86.0,Falling,Trevor Daniel,2256143.0,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87.0,Chicago Freestyle (feat. Giveon),Drake,2255868.0,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88.0,Money Trees,Kendrick Lamar,2251681.0,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89.0,Ballin' (with Roddy Ricch),Mustard,2235391.0,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90.0,SICKO MODE,Travis Scott,2175670.0,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91.0,Chasin' You,Morgan Wallen,2168867.0,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92.0,Be Kind (with Halsey),Marshmello,2164809.0,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
