,Unnamed: 0,Unnamed: 0.1,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
86,86,36,37,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,0ZUvK7zGdXLd78mQr3t1Tw,alt z,indie pop,la indie
87,87,37,38,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,2u1aL8XADqj0nJFHMKRjNw,viral rap,unspecified,unspecified
88,88,38,39,ALL GIRLS ARE THE SAME,RØNIN,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,5AueQd01cgyqBRQ82ns5cd,sad rap,unspecified,unspecified
89,89,39,40,Michelle,Sir Chloe,https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6rniTPs9zN26kYnkPdFl1U,indie pop,modern rock,unspecified
90,90,40,41,Hai Domo,Cao White,https://open.spotify.com/track/5vOwis62qEz4avzkppHHL5,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7Ifh6z0Ibeuqmtf6RnGt2w,glitchcore,unspecified,unspecified
91,91,41,42,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6DgP9otnZw5z6daOntINxp,dance pop,edm,house
92,92,42,43,PJ,ppcocaine,https://open.spotify.com/track/1qxnmVbl8To9W9BcbTS8yC,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,2u1aL8XADqj0nJFHMKRjNw,viral rap,unspecified,unspecified
93,93,43,44,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6tPHARSq45lQ8BSALCfkFC,contemporary country,country pop,unspecified
94,94,44,45,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7f02bxFbZIOVdSbYRNYvLT,cubaton,pop venezolano,reggaeton
95,95,45,46,Just About Over You,Priscilla Block,https://open.spotify.com/track/6VzJCMOzVbvb25LPYQviM5,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6BpvASijzSWj7gnZD4Dvf1,contemporary country,country pop,unspecified
96,96,46,47,Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,24D8gx0257CDd1HAuqNuHu,viral rap,unspecified,unspecified
97,97,47,48,Pussy Talk,City Girls,https://open.spotify.com/track/5EzL7hGT9g2Tvqsy158Lu9,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,37hAfseJWi0G3Scife12Il,dance pop,pop,pop rap
