,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
662,62,63,If the World Was Ending - feat. Julia Michaels,JP Saxe,2825893,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
663,63,64,Goodbyes (Feat. Young Thug),Post Malone,2817447,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
664,64,65,Start Wit Me (feat. Gunna),Roddy Ricch,2814344,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
665,65,66,Make No Sense,YoungBoy Never Broke Again,2803785,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7wlFDEWiM5OoIAt8RSli8b,baton rouge rap,trap,
666,66,67,July,Noah Cyrus,2799966,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,55fhWPvDiMpLnE4ZzNXZyW,alt z,dance pop,pop
667,67,68,All Girls Are The Same,Juice WRLD,2784849,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
668,68,69,Señorita,Shawn Mendes,2766633,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7n2wHs1TKAczGzO7Dd2rGr,canadian pop,pop,post-teen pop
669,69,70,FML,Arizona Zervas,2758542,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
670,70,71,Wow.,Post Malone,2745770,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
671,71,72,Those Kinda Nights (feat. Ed Sheeran),Eminem,2738989,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,hip hop,rap
672,72,73,Stuck In A Dream (feat. Gunna),Lil Mosey,2668008,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5zctI4wO9XSKS8XwcnqEHk,melodic rap,rap,rap conscient
673,73,74,Black Swan,BTS,2659595,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,3Nrfpe0tUJi4K4DXYWgMUX,k-pop,k-pop boy group,
674,74,75,Circles,Mac Miller,2651707,https://open.spotify.com/track/4jXl6VtkFFKIt3ycUQc5LT,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4LLpKhyESsyAXpc4laK94U,hip hop,pittsburgh rap,rap
675,75,76,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,2649861,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,hip hop,rap
676,76,77,Death,Trippie Redd,2633379,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6Xgp2XMz1fhVYe7i6yNAax,melodic rap,rap,trap
677,77,78,WHATS POPPIN,Jack Harlow,2624868,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,2LIk90788K0zvyj2JJVwkJ,deep underground hip hop,kentucky hip hop,pop rap
678,78,79,Before You Go,Lewis Capaldi,2624705,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4GNC7GD6oZMSxPGyXy4MNB,pop,uk pop,
679,79,80,Camelot,NLE Choppa,2601901,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0ErzCpIMyLcjPiwT4elrtZ,memphis hip hop,,
680,80,81,EARFQUAKE,"Tyler, The Creator",2582330,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4V8LLVI7PbaPR0K2TGSxFF,hip hop,rap,
681,81,82,Yellow Hearts,Ant Saunders,2576044,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4jpsw9CQS439N0B7SecMgf,chill r&b,pop,
682,82,83,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2534548,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
